ATENEO,Spese di Personale,Finanziamenti esterni per Spese di Personale,SPESE DI PERSONALE A CARICO ATENEO,ENTRATE COMPLESSIVE (FFO + Programmazione + Tasse Studenti),INDICATORE SPESE DI PERSONALE ‐ dlgs 49/12,Fitti passivi a carico ateneo,ENTRATE NETTE,ONERI DI AMMORTAMENTO,SPESE PERSONALE a carico ATENEO + ONERI AMMORTAMENTO,82% ENTRATE NETTE,Indicatore ISEF,REGIME ASSUNZIONALE (DPCM 31/12/2014),20% MARGINE per atenei con entrambi indicatori OK,PESO % MARGINE (∆),PO PA ed RU a tempo indet.,Personale TA,RU tempo det. tipo b),CEL,RU tempo det. tipo a) L.240/10 o Legge 230/05,Totale cessazioni,Totale cessazioni (al netto ric t.d. a) L. 240/10 e Legge 230/05),PO base,PO base,PO margine aggiuntivo,TOTALE PO PER VERIFICA,organico Istituti ordinamento speciale*,5% dell'organico,% (110% turn over Università; 5% Organico per Istituti ordinamento speciale*),eccedenze da riassegnare,riassegnazione eccedenze,riassegnazione ricercatori tempo det a) e Legge 230/05 al 100%,TOTALE PUNTI ORGANICO,di cui CONGELATI PER MOBILITA' DALLE PROVINCE (Legge stabilità 2015),PUNTI ORGANICO UTILIZZABILI,di cui VINCOLATI all'assunzione di RICERCATORI A TEMPO DET
CHIETI_PESCARA,67174165,311033,66863132,105752973,63.23%,0,105752973,0,66863132,86717438,1.3,30%+Δ,3970861,2.19%,25.4,1.2,,0.8,0.8,28.2,27.4,,8.22,7.68,15.9,,,56.4%,,0.004,0.8,16.71,0.36,16.35,0.8
'L''AQUILA',63223681,497286,62726395,94562646,66.33%,3297127,91265519,0,62726395,74837726,1.19,30%+Δ,2422266,1.34%,14.3,3.05,,0.2,,17.55,17.55,,5.27,4.69,9.95,,,56.7%,,0.002,,9.95,0.92,9.04,
TERAMO,24232914,400000,23832914,31355042,76.01%,91574,31263468,0,23832914,25636044,1.08,30%+Δ,360626,0.20%,3.2,0.6,,,,3.8,3.8,,1.14,0.7,1.84,,,48.4%,,0,,1.84,0.18,1.66,
BASILICATA,34587284,10000000,24587284,35205686,69.84%,27226,35178460,0,24587284,28846337,1.17,30%+Δ,851811,0.47%,2,,,,,2,2,,0.6,1.65,2.25,,,112.4%,0.05,,,2.2,,2.2,
della CALABRIA,89245140,3024670,86220470,117352723,73.47%,131961,117220762,0,86220470,96121025,1.11,30%+Δ,1980111,1.09%,5.9,5.45,,,,11.35,11.35,,3.41,3.83,7.24,,,63.8%,,0.002,,7.24,1.64,5.6,
CATANZARO,25085680,0,25085680,43656657,57.46%,0,43656657,29874,25115554,35798459,1.43,30%+Δ,2136581,1.18%,4.4,0.75,,,,5.15,5.15,,1.55,4.13,5.68,,,110.3%,0.01,,,5.67,0.23,5.44,
Mediterranea di REGGIO CALABRIA,28385846,743044,27642802,34272820,80.66%,327509,33945311,0,27642802,27835155,1.01,30%,,0.00%,4.4,1.15,,,0.5,6.05,5.55,1.82,,0,1.82,,,30.0%,,,,1.82,0.35,1.47,
NAPOLI 'Federico II',302111988,2413600,299698388,398765440,75.16%,676621,398088819,1940734,301639122,326432832,1.08,30%+Δ,4958742,2.73%,89.1,29.2,,0.2,3.45,121.95,118.5,,35.55,9.59,45.14,,,37.0%,,0.01,3.45,48.6,8.76,39.84,3.45
Seconda Univ NAPOLI,127845962,3998456,123847506,144997262,85.41%,254084,144743178,0,123847506,118689406,0.96,30%,,0.00%,21.6,9.55,,0.2,,31.35,31.35,9.41,,0,9.41,,,30.0%,,,,9.41,2.87,6.54,
'Parthenope' di NAPOLI,32375283,540272,31835011,46265876,68.81%,70576,46195300,0,31835011,37880146,1.19,30%+Δ,1209027,0.67%,3.9,0.5,,,,4.4,4.4,,1.32,2.34,3.66,,,83.2%,,0.001,,3.66,0.15,3.51,
''L''Orientale' di NAPOLI',26774052,212894,26561158,39620899,67.04%,267845,39353054,1829624,28390782,32269504,1.14,30%+Δ,775744,0.43%,9.5,1.15,,0.6,,11.25,11.25,,3.38,1.5,4.88,,,43.3%,,0.001,,4.88,0.35,4.53,
SALERNO,101160791,160044,101000747,143567185,70.35%,0,143567185,1129905,102130652,117725092,1.15,30%+Δ,3118888,1.72%,22.6,3.05,,,,25.65,25.65,,7.7,6.03,13.73,,,53.5%,,0.003,,13.73,0.92,12.82,
SANNIO di BENEVENTO,21454769,111932,21342837,25522574,83.62%,165290,25357284,0,21342837,20792973,0.97,30%,,0.00%,1.4,0.3,,,,1.7,1.7,0.51,,0,0.51,,,30.0%,,,,0.51,0.09,0.42,
BOLOGNA,340529503,4426459,336103044,505079318,66.54%,10037003,495042315,1710000,337813044,405934698,1.2,30%+Δ,13624331,7.51%,84.2,17.15,,0.8,1.06,103.21,102.15,,30.65,26.36,57,,,55.2%,,0.013,1.06,58.08,5.15,52.93,1.06
FERRARA,70088069,1999160,68088909,96275865,70.72%,332590,95943275,576935,68665844,78673486,1.15,30%+Δ,2001528,1.10%,13.5,3,,,2,18.5,16.5,,4.95,3.87,8.82,,,47.7%,,0.002,2,10.82,0.9,9.92,2
MODENA e REGGIO EMILIA,89508996,2293801,87215195,123163763,70.81%,1006256,122157507,0,87215195,100169156,1.15,30%+Δ,2590792,1.43%,13.8,2.85,,,,16.65,16.65,,5,5.01,10.01,,,60.1%,,0.002,,10.01,0.86,9.15,
PARMA,107565382,307876,107257506,148259458,72.34%,30787,148228671,119678,107377184,121547510,1.13,30%+Δ,2834065,1.56%,28,4.9,,,0.5,33.4,32.9,,9.87,5.48,15.35,,,46.0%,,0.003,0.5,15.86,1.47,14.39,0.5
